,Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Cost Price
754,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,79.92,4,0.0,28.7712,12.7872
755,Standard Class,Corporate,Jacksonville,Florida,South,Furniture,Tables,383.43800000000005,4,0.45,-167.3184,199.649195
756,Standard Class,Consumer,Cottage Grove,Minnesota,Central,Office Supplies,Storage,24.56,2,0.0,6.8768,8.8416
757,Standard Class,Consumer,Cottage Grove,Minnesota,Central,Technology,Accessories,119.8,4,0.0,47.92,17.97
758,Standard Class,Corporate,New York City,New York,East,Office Supplies,Binders,13.128,3,0.2,4.2666,3.5445599999999997
759,Standard Class,Corporate,Green Bay,Wisconsin,Central,Office Supplies,Paper,22.72,4,0.0,10.224,3.1239999999999997
760,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,58.32,9,0.0,27.9936,3.3696
761,Standard Class,Corporate,Atlanta,Georgia,South,Office Supplies,Labels,12.39,3,0.0,5.6994,2.2302000000000004
762,Standard Class,Consumer,Columbus,Ohio,East,Technology,Phones,107.98200000000001,3,0.4,-26.9955,62.98950000000001
763,Second Class,Corporate,Bossier City,Louisiana,South,Office Supplies,Envelopes,11.36,2,0.0,5.3392,3.0103999999999997
764,Second Class,Corporate,Bossier City,Louisiana,South,Office Supplies,Envelopes,50.94,3,0.0,25.47,8.49
765,Second Class,Corporate,Bossier City,Louisiana,South,Technology,Accessories,646.74,6,0.0,258.69599999999997,64.674
766,Second Class,Corporate,Bossier City,Louisiana,South,Office Supplies,Binders,5.64,3,0.0,2.7072,0.9775999999999999
767,Second Class,Corporate,Bossier City,Louisiana,South,Office Supplies,Storage,572.58,6,0.0,34.3548,89.70420000000001
768,Standard Class,Corporate,Saint Petersburg,Florida,South,Furniture,Furnishings,310.88,2,0.2,23.316,172.5384
769,Standard Class,Consumer,Arlington,Virginia,South,Furniture,Chairs,641.96,2,0.0,179.7488,231.10560000000004
770,Standard Class,Corporate,Des Moines,Iowa,Central,Office Supplies,Binders,18.28,2,0.0,9.14,4.57
771,Standard Class,Corporate,Des Moines,Iowa,Central,Technology,Phones,207.0,3,0.0,51.75,51.75
772,Standard Class,Corporate,Des Moines,Iowa,Central,Office Supplies,Binders,32.35,5,0.0,16.175,3.2350000000000003
773,Standard Class,Corporate,Des Moines,Iowa,Central,Office Supplies,Binders,7.71,1,0.0,3.4695,4.2405
774,Standard Class,Corporate,Des Moines,Iowa,Central,Office Supplies,Art,40.3,2,0.0,10.880999999999998,14.709499999999998
775,Standard Class,Corporate,Des Moines,Iowa,Central,Furniture,Furnishings,34.58,7,0.0,14.5236,2.8651999999999993
776,Standard Class,Consumer,Cincinnati,Ohio,East,Office Supplies,Art,32.76,7,0.2,3.6855,4.984199999999999
777,First Class,Home Office,San Francisco,California,West,Furniture,Chairs,544.008,3,0.2,40.8006,201.28296
778,First Class,Home Office,San Francisco,California,West,Office Supplies,Paper,59.94,3,0.0,28.1718,10.5894
779,First Class,Home Office,San Francisco,California,West,Office Supplies,Paper,23.92,4,0.0,11.7208,3.0498000000000003
780,First Class,Home Office,San Francisco,California,West,Office Supplies,Paper,4.28,1,0.0,1.926,2.354
781,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Binders,32.07,5,0.7,-22.449,18.53646
782,Second Class,Consumer,Columbus,Ohio,East,Technology,Accessories,24.0,2,0.2,-2.7,16.02
783,Second Class,Consumer,Columbus,Ohio,East,Furniture,Bookcases,35.49,1,0.5,-15.6156,76.6584
784,Second Class,Consumer,Columbus,Ohio,East,Technology,Accessories,47.983999999999995,2,0.2,0.5998,28.430519999999994
785,Standard Class,Corporate,Columbia,South Carolina,South,Office Supplies,Envelopes,186.69,3,0.0,87.7443,32.9819
786,Second Class,Consumer,Lancaster,California,West,Office Supplies,Binders,17.456,2,0.2,5.8914,6.938759999999999
787,Standard Class,Consumer,Lancaster,California,West,Furniture,Chairs,348.92800000000005,2,0.2,34.8928,188.42112
788,Standard Class,Consumer,Richmond,Virginia,South,Office Supplies,Binders,143.96,4,0.0,69.1008,18.7148
789,Standard Class,Consumer,Richmond,Virginia,South,Office Supplies,Storage,15.42,1,0.0,4.1634,11.256599999999999
790,Standard Class,Consumer,Richmond,Virginia,South,Office Supplies,Binders,43.04,8,0.0,21.0896,2.7438
791,Standard Class,Consumer,Richmond,Virginia,South,Furniture,Chairs,332.94,3,0.0,79.9056,84.3448
792,Same Day,Consumer,Asheville,North Carolina,South,Technology,Phones,1363.96,5,0.2,85.2475,306.891
793,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Labels,9.96,2,0.0,4.5816,2.6892000000000005
794,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Paper,21.72,4,0.0,10.6428,2.7693
795,Standard Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Binders,20.16,7,0.0,9.8784,1.4688
796,First Class,Corporate,Rochester,New York,East,Office Supplies,Paper,132.79,7,0.0,63.7392,9.8644
797,First Class,Corporate,Rochester,New York,East,Office Supplies,Paper,12.96,2,0.0,6.2208,3.3696000000000006
798,First Class,Corporate,Rochester,New York,East,Office Supplies,Labels,21.56,7,0.0,10.3488,1.6015999999999997
799,Standard Class,Consumer,Lake Elsinore,California,West,Furniture,Chairs,283.92,5,0.2,17.745,63.882
800,First Class,Corporate,San Diego,California,West,Furniture,Furnishings,22.23,1,0.0,7.3359,14.894100000000002
801,First Class,Corporate,San Diego,California,West,Technology,Phones,215.968,2,0.2,18.8972,118.24247999999999
802,Second Class,Corporate,New York City,New York,East,Office Supplies,Appliances,355.32,9,0.0,99.4896,28.4256
803,Standard Class,Corporate,Monroe,Louisiana,South,Office Supplies,Paper,12.96,2,0.0,6.2208,3.3696000000000006
804,First Class,Consumer,San Francisco,California,West,Furniture,Furnishings,18.28,2,0.0,6.2152,6.032400000000001
805,Standard Class,Consumer,Denver,Colorado,West,Office Supplies,Art,43.176,3,0.2,4.3176,15.543360000000002
806,Standard Class,Consumer,Denver,Colorado,West,Technology,Phones,1983.9679999999998,4,0.2,247.99599999999998,520.7915999999999
807,First Class,Consumer,Omaha,Nebraska,Central,Furniture,Furnishings,28.4,2,0.0,11.075999999999999,8.661999999999999
808,First Class,Consumer,Omaha,Nebraska,Central,Technology,Accessories,149.97,3,0.0,50.9898,32.9934
809,First Class,Consumer,Edmonds,Washington,West,Office Supplies,Art,11.52,4,0.0,3.2256,2.0736
810,First Class,Consumer,Edmonds,Washington,West,Furniture,Tables,1298.55,5,0.0,311.652,197.37959999999998
811,First Class,Consumer,Edmonds,Washington,West,Office Supplies,Appliances,213.92,4,0.0,62.0368,37.9708
812,First Class,Consumer,Edmonds,Washington,West,Technology,Accessories,25.78,2,0.0,2.5780000000000003,11.601
813,Same Day,Consumer,Santa Ana,California,West,Furniture,Furnishings,18.28,2,0.0,6.2152,6.032400000000001
814,Same Day,Consumer,Santa Ana,California,West,Technology,Accessories,1399.93,7,0.0,601.9699,113.9943
815,First Class,Corporate,Milwaukee,Wisconsin,Central,Office Supplies,Paper,51.84,8,0.0,24.8832,3.3696000000000006
816,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Paper,5.343999999999999,1,0.2,1.8704,4.168319999999999
817,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Paper,41.472,8,0.2,14.5152,4.04352
818,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,3.168,3,0.7,-2.4288,3.1715199999999997
819,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,1228.465,5,0.3,0.0,319.4009
820,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,31.086,3,0.7,-22.7964,30.53336
821,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Paper,335.52,4,0.2,117.432,65.42639999999999
822,Standard Class,Consumer,Belleville,New Jersey,East,Technology,Accessories,239.97,3,0.0,71.991,55.992999999999995
823,Standard Class,Consumer,Belleville,New Jersey,East,Office Supplies,Labels,9.82,2,0.0,4.8118,2.5041
824,Standard Class,Consumer,San Francisco,California,West,Technology,Accessories,67.8,4,0.0,4.0680000000000005,15.933
825,Standard Class,Consumer,San Francisco,California,West,Technology,Accessories,167.97,3,0.0,40.3128,42.5524
826,Standard Class,Consumer,Lakeville,Minnesota,Central,Office Supplies,Fasteners,35.0,7,0.0,16.8,2.6
827,Standard Class,Consumer,Lakeville,Minnesota,Central,Office Supplies,Supplies,37.24,4,0.0,10.7996,6.610100000000001
828,Standard Class,Consumer,Lakeville,Minnesota,Central,Office Supplies,Envelopes,15.28,2,0.0,7.4872,3.8964
829,Second Class,Consumer,Florence,Kentucky,South,Furniture,Chairs,301.96,2,0.0,90.588,105.68599999999999
830,Second Class,Consumer,Florence,Kentucky,South,Office Supplies,Appliances,180.66,3,0.0,50.5848,43.358399999999996
831,Second Class,Consumer,Florence,Kentucky,South,Technology,Phones,191.98,2,0.0,51.8346,70.0727
832,Second Class,Consumer,Florence,Kentucky,South,Technology,Phones,65.99,1,0.0,17.1574,48.8326
833,Standard Class,Corporate,Tampa,Florida,South,Office Supplies,Art,35.216,2,0.2,2.6412,19.544880000000003
834,Standard Class,Corporate,Tampa,Florida,South,Office Supplies,Appliances,23.695999999999998,2,0.2,6.5164,10.307759999999998
835,Standard Class,Corporate,Tampa,Florida,South,Technology,Machines,265.475,1,0.5,-111.4995,565.46175
836,Second Class,Consumer,Tyler,Texas,Central,Office Supplies,Binders,51.184,4,0.8,-79.3352,58.73364000000001
837,Standard Class,Home Office,Columbia,Tennessee,South,Office Supplies,Paper,9.664,2,0.2,3.2616,3.84144
838,Standard Class,Corporate,Fort Worth,Texas,Central,Technology,Phones,21.072,3,0.2,1.5804,7.796639999999999
839,Standard Class,Corporate,New York City,New York,East,Office Supplies,Art,60.45,3,0.0,16.3215,14.7095
840,Standard Class,Corporate,New York City,New York,East,Office Supplies,Art,11.52,4,0.0,3.3408,2.0448
841,Standard Class,Corporate,New York City,New York,East,Furniture,Bookcases,186.048,4,0.2,9.3024,53.02368
842,First Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,37.44,4,0.2,11.7,7.7219999999999995
843,First Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,26.976,4,0.2,8.7672,5.462639999999999
844,First Class,Corporate,Los Angeles,California,West,Office Supplies,Supplies,11.36,2,0.0,3.2944,4.0328
845,First Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,14.62,2,0.0,6.8714,3.8742999999999994
846,Standard Class,Consumer,Louisville,Kentucky,South,Technology,Phones,83.72,7,0.0,23.4416,8.6112
847,Standard Class,Consumer,Louisville,Kentucky,South,Furniture,Chairs,287.94,3,0.0,77.7438,70.0654
848,Standard Class,Consumer,Lorain,Ohio,East,Furniture,Furnishings,48.896,4,0.2,8.5568,12.101759999999999
849,Standard Class,Corporate,Linden,New Jersey,East,Technology,Accessories,115.36,7,0.0,49.6048,9.393600000000001
850,Second Class,Corporate,Salinas,California,West,Office Supplies,Art,5.16,2,0.0,1.3416,1.9092000000000002
851,Second Class,Corporate,Salinas,California,West,Office Supplies,Paper,38.88,6,0.0,18.6624,3.3696
852,Standard Class,Consumer,Jackson,Mississippi,South,Office Supplies,Art,185.88,6,0.0,50.1876,22.615399999999998
853,Standard Class,Consumer,New York City,New York,East,Furniture,Furnishings,44.46,2,0.0,14.6718,14.894100000000002
854,Standard Class,Consumer,New York City,New York,East,Office Supplies,Storage,242.94,3,0.0,9.7176,77.7408
855,Standard Class,Consumer,New York City,New York,East,Office Supplies,Paper,39.96,2,0.0,18.7812,10.589400000000001
856,Standard Class,Consumer,New York City,New York,East,Office Supplies,Supplies,102.3,10,0.0,26.598000000000003,7.5702
857,Standard Class,Consumer,New York City,New York,East,Office Supplies,Storage,21.36,2,0.0,5.7672,7.7964
858,Standard Class,Home Office,New Brunswick,New Jersey,East,Office Supplies,Paper,7.61,1,0.0,3.5767,4.0333000000000006
859,Standard Class,Home Office,New Brunswick,New Jersey,East,Office Supplies,Fasteners,7.16,2,0.0,3.58,1.79
860,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Supplies,7.36,2,0.0,0.1472,3.6064000000000003
861,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,23.1,2,0.0,10.626,6.237000000000001
862,Second Class,Corporate,Jacksonville,Florida,South,Technology,Accessories,191.472,6,0.2,40.6878,30.15684
863,Second Class,Corporate,Jacksonville,Florida,South,Office Supplies,Art,5.247999999999999,2,0.2,0.5904,2.7945599999999997
864,Second Class,Corporate,Jacksonville,Florida,South,Technology,Phones,59.184,2,0.2,5.1786,32.40324
865,Standard Class,Corporate,Springfield,Virginia,South,Office Supplies,Labels,2.89,1,0.0,1.3583,1.5317
866,Standard Class,Corporate,Springfield,Virginia,South,Furniture,Furnishings,51.94,1,0.0,21.2954,30.644599999999997
867,First Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Labels,15.936,4,0.2,5.1792,3.22704
868,Standard Class,Corporate,Lancaster,Pennsylvania,East,Office Supplies,Binders,44.91,6,0.7,-35.928000000000004,22.904099999999996
869,First Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Binders,1141.47,5,0.7,-760.98,646.833
870,First Class,Home Office,Philadelphia,Pennsylvania,East,Technology,Phones,280.782,3,0.4,-46.797,152.87019999999995
871,First Class,Consumer,Concord,New Hampshire,East,Office Supplies,Paper,34.44,3,0.0,17.22,5.739999999999999
872,Standard Class,Consumer,New York City,New York,East,Office Supplies,Paper,11.36,2,0.0,5.2256,3.0671999999999997
873,Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,106.344,7,0.2,37.2204,11.849759999999998
874,Standard Class,Consumer,Charlotte,North Carolina,South,Office Supplies,Paper,192.16,5,0.2,67.256,29.97696
875,Standard Class,Home Office,Concord,New Hampshire,East,Furniture,Furnishings,322.59,3,0.0,64.518,86.024
876,Standard Class,Home Office,Concord,New Hampshire,East,Technology,Accessories,29.99,1,0.0,13.1956,16.794399999999996
877,Standard Class,Home Office,Concord,New Hampshire,East,Technology,Accessories,371.97,3,0.0,66.9546,101.6718
878,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Binders,5.892,4,0.7,-4.1244,4.25697
879,Second Class,Home Office,New York City,New York,East,Office Supplies,Binders,68.472,3,0.2,23.1093,18.145079999999997
880,Second Class,Home Office,New York City,New York,East,Furniture,Chairs,1242.9,5,0.1,262.39,215.71220000000005
881,Standard Class,Consumer,Springfield,Virginia,South,Office Supplies,Storage,30.84,2,0.0,8.3268,11.256599999999999
882,Same Day,Consumer,San Francisco,California,West,Office Supplies,Art,13.48,4,0.0,5.9312,1.8872000000000002
883,First Class,Home Office,Detroit,Michigan,Central,Furniture,Furnishings,31.4,5,0.0,10.048,4.2703999999999995
884,Standard Class,Consumer,Rochester,New York,East,Furniture,Furnishings,17.46,2,0.0,5.9364,5.761800000000001
885,Second Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,13.944,3,0.2,4.5318,3.7648800000000007
886,Standard Class,Consumer,San Diego,California,West,Office Supplies,Storage,83.76,12,0.0,1.6752,6.8404
887,Standard Class,Home Office,Columbia,Maryland,East,Office Supplies,Binders,37.66,7,0.0,18.4534,2.7438
888,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Paper,34.68,6,0.0,16.9932,2.9477999999999995
889,Standard Class,Consumer,New Rochelle,New York,East,Technology,Accessories,149.95,5,0.0,14.995,26.990999999999996
890,Standard Class,Consumer,New Rochelle,New York,East,Office Supplies,Binders,51.312,3,0.2,18.6006,13.084559999999998
891,First Class,Home Office,Detroit,Michigan,Central,Office Supplies,Paper,4.54,1,0.0,2.043,2.497
892,First Class,Home Office,Detroit,Michigan,Central,Office Supplies,Art,15.92,4,0.0,5.4128,2.6268000000000002
893,First Class,Home Office,Detroit,Michigan,Central,Technology,Phones,543.92,8,0.0,135.98,50.99249999999999
894,First Class,Corporate,San Francisco,California,West,Office Supplies,Storage,155.82,7,0.0,42.0714,16.2498
895,First Class,Corporate,San Francisco,California,West,Office Supplies,Binders,70.008,3,0.2,24.5028,18.20208
896,Second Class,Consumer,Houston,Texas,Central,Office Supplies,Envelopes,15.648,2,0.2,5.0856,6.33744
897,Standard Class,Consumer,Detroit,Michigan,Central,Office Supplies,Labels,103.6,7,0.0,51.8,7.3999999999999995
898,Second Class,Corporate,Auburn,New York,East,Office Supplies,Paper,46.96,8,0.0,22.5408,3.0524
899,First Class,Corporate,Springfield,Ohio,East,Office Supplies,Binders,8.904,2,0.7,-6.5296,13.11856
900,First Class,Consumer,Garland,Texas,Central,Office Supplies,Labels,10.44,5,0.2,3.3930000000000002,1.6912799999999997
901,First Class,Consumer,Garland,Texas,Central,Office Supplies,Binders,18.336,4,0.8,-32.088,22.6908
902,First Class,Consumer,Chicago,Illinois,Central,Technology,Phones,323.976,3,0.2,20.2485,121.491
903,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,20.04,3,0.0,9.6192,3.4736
904,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,64.96,2,0.0,2.5984,31.180799999999998
905,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,12.96,2,0.0,6.2208,3.3696000000000006
906,Standard Class,Consumer,New York City,New York,East,Furniture,Bookcases,323.13599999999997,4,0.2,12.1176,93.30551999999999
907,Standard Class,Consumer,New York City,New York,East,Technology,Phones,90.93,7,0.0,2.7279,12.6003
908,Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,52.776,3,0.2,19.791,13.193999999999999
909,Standard Class,Home Office,Jackson,Michigan,Central,Technology,Phones,1199.8,4,0.0,323.94599999999997,218.9635
910,Standard Class,Home Office,Jackson,Michigan,Central,Technology,Accessories,1928.78,7,0.0,829.3754,157.0578
911,Standard Class,Home Office,Jackson,Michigan,Central,Office Supplies,Storage,352.38,2,0.0,81.0474,135.6663
912,Standard Class,Home Office,Norwich,Connecticut,East,Furniture,Furnishings,22.2,6,0.0,9.102,2.183
913,First Class,Corporate,Milwaukee,Wisconsin,Central,Furniture,Furnishings,46.94,1,0.0,19.2454,27.694599999999998
914,First Class,Corporate,Milwaukee,Wisconsin,Central,Technology,Accessories,143.73,9,0.0,56.0547,9.7417
915,Standard Class,Corporate,San Antonio,Texas,Central,Furniture,Tables,99.91799999999999,2,0.3,-18.5562,77.00823
916,Standard Class,Corporate,San Antonio,Texas,Central,Furniture,Chairs,797.944,4,0.3,-56.996,277.8555
917,Standard Class,Corporate,San Antonio,Texas,Central,Office Supplies,Binders,8.568,3,0.8,-14.5656,13.880160000000002
918,Standard Class,Corporate,Dallas,Texas,Central,Office Supplies,Envelopes,149.352,3,0.2,50.4063,39.57828
919,Standard Class,Corporate,Dallas,Texas,Central,Office Supplies,Storage,12.992,1,0.2,-0.812,16.564799999999998
920,Standard Class,Consumer,Alexandria,Virginia,South,Office Supplies,Storage,24.56,2,0.0,6.8768,8.8416
921,Standard Class,Consumer,New York City,New York,East,Technology,Accessories,85.14,3,0.0,34.9074,16.7442
922,Standard Class,Consumer,New York City,New York,East,Technology,Phones,21.99,1,0.0,10.5552,11.4348
923,Standard Class,Consumer,New York City,New York,East,Office Supplies,Appliances,406.6,5,0.0,113.848,58.5504
924,Standard Class,Corporate,New York City,New York,East,Office Supplies,Binders,841.568,2,0.2,294.5488,328.21151999999995
925,First Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Paper,15.552,3,0.2,5.4432,4.043519999999999
926,First Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,252.0,5,0.2,53.55,47.62799999999999
927,Standard Class,Home Office,Springfield,Virginia,South,Office Supplies,Art,46.2,4,0.0,12.936,8.316
928,Standard Class,Home Office,Springfield,Virginia,South,Office Supplies,Appliances,28.84,2,0.0,9.5172,9.6614
929,First Class,Consumer,Toledo,Ohio,East,Office Supplies,Art,14.592,3,0.2,2.5536,4.81536
930,First Class,Consumer,Toledo,Ohio,East,Office Supplies,Art,89.85600000000001,3,0.2,21.3408,27.406080000000003
931,First Class,Consumer,Toledo,Ohio,East,Office Supplies,Paper,13.872,3,0.2,5.0286,3.537359999999999
932,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Paper,12.192,3,0.2,4.1148,3.2308800000000004
933,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Paper,45.056000000000004,8,0.2,15.2064,4.4774400000000005
934,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Binders,29.718000000000004,6,0.7,-21.7932,14.59484
935,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Paper,15.552,3,0.2,5.4432,4.043519999999999
936,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Appliances,447.69599999999997,2,0.2,33.5772,248.47127999999998
937,First Class,Corporate,Farmington,New Mexico,West,Technology,Accessories,159.99,1,0.0,54.3966,105.5934
938,Standard Class,Corporate,Riverside,California,West,Office Supplies,Paper,12.96,2,0.0,6.2208,3.3696000000000006
939,Standard Class,Corporate,Riverside,California,West,Office Supplies,Appliances,134.48,4,0.0,34.9648,24.8788
940,First Class,Corporate,San Francisco,California,West,Office Supplies,Paper,17.12,2,0.0,8.0464,4.5368
941,Standard Class,Corporate,Torrance,California,West,Office Supplies,Binders,6.096,2,0.2,2.2098,2.33172
942,Standard Class,Corporate,Torrance,California,West,Furniture,Tables,1114.272,4,0.2,41.7852,321.74603999999994
943,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Paper,32.4,5,0.0,15.552,3.3695999999999997
944,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Storage,540.57,3,0.0,140.5482,133.34060000000002
945,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,167.76,5,0.2,62.91,25.163999999999998
946,First Class,Consumer,Mesa,Arizona,West,Furniture,Tables,393.165,3,0.5,-204.4458,298.8054
947,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Furniture,Furnishings,516.488,7,0.2,-12.9122,90.75432
948,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Furniture,Furnishings,1007.232,6,0.2,75.5424,186.33792
949,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Furniture,Tables,2065.32,12,0.4,-619.596,313.2402
950,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Paper,15.552,3,0.2,5.4432,4.043519999999999
951,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Paper,25.344,6,0.2,7.92,3.4848
952,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,25.471999999999998,4,0.2,7.6416,5.349119999999999
953,Standard Class,Consumer,Round Rock,Texas,Central,Office Supplies,Art,27.168000000000003,2,0.2,2.7168,14.670720000000001
954,Standard Class,Consumer,Round Rock,Texas,Central,Furniture,Bookcases,78.8528,2,0.32,-11.595999999999998,59.696208000000006
955,Standard Class,Consumer,Jackson,Mississippi,South,Office Supplies,Storage,173.8,5,0.0,43.45,26.070000000000004
956,Second Class,Consumer,Phoenix,Arizona,West,Technology,Phones,29.592,1,0.2,2.5893,32.40324
957,Second Class,Consumer,Phoenix,Arizona,West,Office Supplies,Binders,4.752,2,0.7,-3.168,6.732
958,Second Class,Consumer,Phoenix,Arizona,West,Office Supplies,Paper,15.552,3,0.2,5.6376,3.96576
959,Same Day,Consumer,Oceanside,California,West,Furniture,Furnishings,204.6,2,0.0,53.196000000000005,75.702
960,Standard Class,Corporate,San Francisco,California,West,Furniture,Chairs,321.568,2,0.2,28.1372,176.05847999999997
961,Standard Class,Home Office,Fayetteville,Arkansas,South,Office Supplies,Binders,6.24,2,0.0,3.0576,1.5912000000000002
962,First Class,Corporate,San Francisco,California,West,Office Supplies,Envelopes,21.88,2,0.0,10.94,5.47
963,Second Class,Consumer,Boca Raton,Florida,South,Office Supplies,Labels,4.6080000000000005,2,0.2,1.6704,1.7625600000000003
964,First Class,Home Office,New York City,New York,East,Office Supplies,Labels,9.82,2,0.0,4.8118,2.5041
965,First Class,Home Office,New York City,New York,East,Office Supplies,Art,35.97,3,0.0,9.7119,8.752699999999999
966,First Class,Home Office,New York City,New York,East,Office Supplies,Paper,12.96,2,0.0,6.2208,3.3696000000000006
967,First Class,Home Office,New York City,New York,East,Office Supplies,Paper,191.6,4,0.0,91.96799999999999,24.908
968,First Class,Home Office,New York City,New York,East,Office Supplies,Labels,8.64,3,0.0,4.2336,1.4688
969,First Class,Home Office,New York City,New York,East,Office Supplies,Storage,501.81,3,0.0,0.0,167.27
970,Second Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,127.104,6,0.2,28.5984,19.70112
971,Second Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Phones,124.2,3,0.4,-31.05,72.44999999999999
972,Second Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,18.588,2,0.7,-13.6312,27.38632
973,Second Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Labels,30.072,3,0.2,10.1493,7.969079999999999
974,Second Class,Home Office,New York City,New York,East,Technology,Phones,160.93,7,0.0,3.2186,22.5302
975,Second Class,Home Office,New York City,New York,East,Office Supplies,Binders,75.792,3,0.2,25.5798,20.084880000000002
976,Standard Class,Consumer,Portland,Oregon,West,Office Supplies,Binders,1.08,2,0.7,-0.792,1.5912
977,First Class,Corporate,Detroit,Michigan,Central,Technology,Machines,3059.982,2,0.1,679.9960000000001,1308.9923000000001
978,First Class,Consumer,Wilmington,North Carolina,South,Office Supplies,Binders,3.282,2,0.7,-2.6256,5.02146
979,First Class,Corporate,Columbus,Indiana,Central,Office Supplies,Paper,34.02,3,0.0,16.6698,5.783400000000001
980,Standard Class,Consumer,New York City,New York,East,Furniture,Chairs,599.2919999999999,6,0.1,93.2232,92.77927999999999
981,Second Class,Consumer,Louisville,Colorado,West,Office Supplies,Art,3.392,1,0.2,0.8056,3.1036799999999998
982,Second Class,Consumer,Louisville,Colorado,West,Technology,Phones,559.984,2,0.2,55.9984,302.39136
983,Second Class,Consumer,Louisville,Colorado,West,Furniture,Chairs,603.92,5,0.2,75.49,126.82319999999999
984,Standard Class,Home Office,Pasadena,Texas,Central,Office Supplies,Labels,7.968,2,0.2,2.5896,3.22704
985,Standard Class,Home Office,Pasadena,Texas,Central,Office Supplies,Envelopes,27.968000000000004,4,0.2,9.4392,5.558640000000001
986,Standard Class,Home Office,Pasadena,Texas,Central,Technology,Machines,336.51,3,0.4,44.868,136.09959999999998
987,Same Day,Consumer,Houston,Texas,Central,Office Supplies,Binders,1.112,2,0.8,-1.8904,2.70216
988,Standard Class,Corporate,Auburn,New York,East,Furniture,Furnishings,520.05,5,0.0,72.807,89.44859999999998
989,Standard Class,Corporate,Auburn,New York,East,Office Supplies,Art,17.97,3,0.0,5.2113,4.2528999999999995
990,Second Class,Home Office,Jacksonville,Florida,South,Furniture,Chairs,1166.92,5,0.2,131.2785,248.55396000000002
991,First Class,Consumer,New York City,New York,East,Office Supplies,Binders,14.624,2,0.2,5.484,5.484
992,First Class,Consumer,San Jose,California,West,Office Supplies,Fasteners,10.23,3,0.0,4.9104,1.7732
993,First Class,Consumer,San Jose,California,West,Office Supplies,Paper,154.9,5,0.0,69.705,17.039
994,Standard Class,Corporate,Virginia Beach,Virginia,South,Office Supplies,Binders,2715.93,7,0.0,1276.4871,205.63469999999998
995,Standard Class,Corporate,Virginia Beach,Virginia,South,Technology,Phones,617.97,3,0.0,173.0316,148.3128
996,Standard Class,Consumer,Henderson,Kentucky,South,Office Supplies,Envelopes,10.67,1,0.0,4.9082,5.7618
997,Standard Class,Consumer,Henderson,Kentucky,South,Office Supplies,Storage,36.63,3,0.0,9.8901,8.913300000000001
